,system:index,classification,Lat,Lon,B2,B3,B4,B8
0,0,5,-1.2169223994387313,36.96056103369757,2241.6666666666665,1985.375,1905.7916666666667,1929.7916666666667
1,1,5,-1.166709391300491,36.95456289072373,1769.9166666666667,1600.4583333333333,1567.2083333333333,1536.2916666666667
2,2,5,-1.1931694932372594,36.95873872979141,1781.0416666666667,1574.5,1490.2083333333333,1464.625
3,3,5,-1.2168613112834727,36.98601975033279,2435.125,2185.2083333333335,2071.0833333333335,2155.7083333333335
4,4,3,-1.1875914065120303,36.96523154215789,1750.875,1612.0,1500.0833333333333,1477.0416666666667
5,5,1,-1.214451060398319,36.9053415485253,2433.25,2248.3333333333335,2198.8333333333335,2110.8333333333335
6,6,5,-1.2218853463783617,36.94138846575152,2074.6666666666665,1870.0833333333333,1817.1666666666667,1766.5833333333333
7,7,2,-1.2264165850515738,36.92770334704546,2404.5,2267.75,2235.4166666666665,2147.5
8,8,1,-1.2067953449329722,36.91956472616052,2236.5,2067.0833333333335,1980.4166666666667,1970.3333333333333
9,9,5,-1.222807123578709,36.94561907088409,1672.5416666666667,1466.9583333333333,1425.875,1404.5416666666667
10,10,5,-1.2172210024704666,36.9596101480641,2173.5833333333335,2037.5416666666667,1953.7083333333333,1898.5416666666667
11,11,2,-1.2182108871896609,36.934928947657234,1928.75,1704.8333333333333,1623.75,1630.5833333333333
12,12,3,-1.2140012893273049,36.94766218507115,2035.375,1819.9583333333333,1713.4583333333333,1730.0416666666667
13,13,2,-1.2246733587205851,36.92263737599692,2212.5,2012.5833333333333,1913.4166666666667,1877.25
14,14,0,-1.1999796120643695,36.979935608167416,3025.75,2634.25,2543.0416666666665,2609.625
15,15,5,-1.2175719868400454,36.98354302996009,2158.5,1961.0833333333333,1897.6666666666667,1900.5833333333333
16,16,3,-1.192065005337822,36.96331587148492,1869.375,1660.0,1553.1666666666667,1522.375
17,17,2,-1.2262341575570386,36.9181377885884,1893.1666666666667,1746.1666666666667,1797.6666666666667,1614.8333333333333
18,18,5,-1.2116943708811114,36.98323237504146,2211.5833333333335,2046.75,1953.625,1980.7083333333333
19,19,2,-1.2008471889868346,36.96244839717818,2056.5,1837.5833333333333,1688.7083333333333,1741.625
20,20,2,-1.21391070524369,36.9266113539954,1917.1666666666667,1754.0833333333333,1712.0,1655.3333333333333
21,21,1,-1.173602014593503,36.9453661761269,1913.6666666666667,1746.2916666666667,1691.4166666666667,1646.4583333333333
22,22,1,-1.1993572299959805,36.94989469792698,2029.25,1839.2083333333333,1816.75,1727.9166666666667
23,23,5,-1.1987102944039465,36.95833275036737,1726.0833333333333,1493.8333333333333,1391.25,1409.1666666666667
24,24,2,-1.1688586445077251,36.95579961188847,1859.5,1688.7083333333333,1573.0416666666667,1605.5833333333333
25,25,2,-1.2019091912787434,36.9316066417021,2236.0833333333335,1942.5833333333333,1864.0833333333333,1891.6666666666667
26,26,1,-1.2121165992267524,36.957681022707305,2254.8333333333335,1983.7083333333333,1824.3333333333333,1923.7083333333333
27,27,5,-1.190504661319418,36.97459924550125,2028.5,1851.25,1768.25,1745.4583333333333
28,28,2,-1.2181425431904849,36.92569430312199,2460.0,2292.5833333333335,2262.0833333333335,2174.25
29,29,5,-1.1936332290049754,36.95553613598423,1821.2916666666667,1662.5416666666667,1605.4166666666667,1549.125
30,30,2,-1.2101754921581456,36.927078120587694,2175.3333333333335,1989.5833333333333,1932.0,1923.0
31,31,2,-1.19155940122293,36.95023779848205,1920.375,1758.25,1760.6666666666667,1639.3333333333333
32,32,0,-1.2013142050068193,36.915069943654224,2562.25,2361.4166666666665,2305.5,2204.5833333333335
33,33,1,-1.2028330101763998,36.93528632235616,2520.1666666666665,2261.3333333333335,2124.8333333333335,2195.8333333333335
34,34,5,-1.2176468891070082,36.95945504838605,2246.7083333333335,2049.9166666666665,1985.2916666666667,1959.5
35,35,2,-1.1849018854733209,36.94162660921067,1853.75,1672.5833333333333,1625.0833333333333,1566.4166666666667
36,36,1,-1.211293269238146,36.928896817921,1985.1666666666667,1762.5833333333333,1707.0833333333333,1696.8333333333333
37,37,2,-1.1846709233675676,36.9506177826128,2023.375,1845.9583333333333,1773.0833333333333,1771.9166666666667
38,38,1,-1.1939813163286446,36.93995487552966,2626.5,2398.75,2318.1666666666665,2301.4166666666665
39,39,3,-1.1988731367668537,36.91991910864712,2161.75,1940.5,1832.5833333333333,1830.9166666666667
40,40,5,-1.1890206966815406,36.95886619237695,2184.5833333333335,1981.4583333333333,1910.7916666666667,1899.25
41,41,5,-1.1902865987165152,36.97045797488085,2096.0,1866.5833333333333,1719.0833333333333,1792.875
42,42,2,-1.2081867308381065,36.96474424645196,2902.0833333333335,2636.9166666666665,2438.0833333333335,2496.125
43,43,5,-1.2128753497462297,36.98398242319913,2374.8333333333335,2163.1666666666665,2086.0416666666665,2122.25
44,44,1,-1.2015609335639224,36.97735287654695,2848.0416666666665,2536.3333333333335,2604.0833333333335,2436.2916666666665
45,45,5,-1.21225149059009,36.97599499544783,2740.7083333333335,2461.0,2352.0833333333335,2385.375
46,46,1,-1.2000834099176398,36.91541818118554,2479.5833333333335,2348.25,2275.4166666666665,2201.3333333333335
47,47,2,-1.200302204326087,36.96460777737885,2403.3333333333335,2202.8333333333335,2147.0416666666665,2069.5
48,48,1,-1.213377169563857,36.92153703829943,2348.25,2143.6666666666665,2028.9166666666667,2071.5
49,49,2,-1.2055360921680534,36.96591113003749,3228.0416666666665,3062.625,2913.9166666666665,2879.7916666666665
50,50,5,-1.188315758437441,36.97047044836288,1872.5,1639.375,1546.0416666666667,1549.0833333333333
51,51,2,-1.2061040217043957,36.94053117069989,2333.3333333333335,2124.6666666666665,2051.5833333333335,2000.25
52,52,5,-1.1727801976206884,36.95127127208872,2199.5416666666665,1962.75,1857.9583333333333,1901.4166666666667
53,53,5,-1.2075194989752476,36.980333631367415,2905.4583333333335,2581.7083333333335,2405.4166666666665,2501.0833333333335
54,54,2,-1.2015643273660988,36.92636615091406,2631.6666666666665,2419.6666666666665,2311.25,2307.9166666666665
55,55,2,-1.1931574256650364,36.95328220895642,2083.9583333333335,1971.9583333333333,1968.625,1815.8333333333333
56,56,2,-1.1857992417438554,36.94130232743255,1897.0,1644.5,1552.4166666666667,1571.0833333333333
57,57,1,-1.2037374683973256,36.91676356118011,2571.75,2363.4166666666665,2324.8333333333335,2225.1666666666665
58,58,2,-1.220781067911828,36.91300764209888,1964.75,1749.0833333333333,1694.5833333333333,1683.9166666666667
59,59,5,-1.191273861980544,36.926022629107415,2528.5833333333335,2344.75,2269.0,2243.9166666666665
60,60,5,-1.2107725651599237,36.98183611280128,2409.7083333333335,2104.9166666666665,2091.9583333333335,2026.0416666666667
61,61,1,-1.1986024954092345,36.95435558640216,2169.9583333333335,1949.0416666666667,1876.7916666666667,1818.625
62,62,5,-1.2173461240110242,36.94375781874432,1770.5,1613.75,1565.75,1503.1666666666667
63,63,1,-1.165380859400403,36.95499361508855,1762.4583333333333,1580.2083333333333,1488.5,1522.75
64,64,1,-1.1763794890804706,36.94774502443864,1828.2916666666667,1609.8333333333333,1464.625,1532.125
65,65,2,-1.2078506784954532,36.932608799731966,2002.5,1773.75,1667.6666666666667,1703.5
66,66,5,-1.1762699191056651,36.95667893019221,1539.9166666666667,1381.5416666666667,1340.625,1291.5
67,67,5,-1.2127274445748983,36.94588673311869,1924.5,1714.5416666666667,1669.375,1628.4583333333333
68,68,1,-1.2004993344549078,36.97444148505013,2630.2083333333335,2369.0,2231.0833333333335,2282.6666666666665
69,69,3,-1.2187436633007975,36.917995217651416,2803.6666666666665,2578.0833333333335,2412.4166666666665,2478.8333333333335
70,70,5,-1.1901890771213386,36.97307867669462,1818.8333333333333,1676.875,1596.3333333333333,1544.0833333333333
71,71,1,-1.1852915690026498,36.9554209507464,1896.5416666666667,1690.8333333333333,1632.4166666666667,1611.0
72,72,5,-1.1839490839520008,36.94899773628629,1902.625,1751.75,1671.0833333333333,1637.5833333333333
73,73,2,-1.2013269775409818,36.96744227956734,2483.4583333333335,2245.5,2209.2083333333335,2115.8333333333335
74,74,2,-1.210415406596727,36.964212340232926,2149.8333333333335,1907.2916666666667,1794.3333333333333,1777.0416666666667
75,75,5,-1.21396752269593,36.98263600090607,2463.125,2166.3333333333335,2075.5833333333335,2124.4583333333335
76,76,0,-1.22009454482569,36.957474983076295,1853.5416666666667,1704.9583333333333,1697.125,1596.7916666666667
77,77,5,-1.166507549444094,36.95420769009165,1696.0416666666667,1469.6666666666667,1384.125,1424.7916666666667
78,78,2,-1.1890122885641328,36.93731559217687,2391.8333333333335,2176.5833333333335,2112.6666666666665,2066.4166666666665
79,79,2,-1.190803749998136,36.95492395358365,2107.625,1891.625,1838.5416666666667,1777.2083333333333
80,80,2,-1.1834753994213827,36.965333827717885,1552.0833333333333,1376.75,1288.6666666666667,1266.1666666666667
81,81,2,-1.2084549697404752,36.91964499391646,2249.0,2045.9166666666667,1986.3333333333333,1937.8333333333333
